EmissãoNotaFiscal,Marca,Local,Venda,Custo,Desconto,CustoDeEntrega,CustoDeMaoDeObra,Cliente,Model,Color,Year
04-10-2016,Royce,São Paulo,95000,50000,500.0,750.0,750,Aldo Motors,Camargue,Vermelho,2016
02-02-2016,Royce,São Paulo,88000,75000,750.0,1000.0,550,Bright Orange,Prata Ghost,Verde,2016
04-06-2016,Aston Martin,São Paulo,110000,56000,750.0,500.0,550,Bright Orange,DBS,Púrpura,2016
04-07-2016,Aston Martin,Minas Gerais,125000,23500,2500.0,1000.0,550,Les Arnaqueurs,DB7,Vermelho,2016
04-12-2016,Aston Martin,São Paulo,95000,155000,5000.0,1500.0,570,Bright Orange,Rapide,Preto,2016
02-05-2017,Royce,São Paulo,178500,75890,950.0,1750.0,321,Honest John,Prata Shadow,Vermelho,2017
02-07-2017,Royce,São Paulo,102500,62000,1750.0,500.0,987,Aldo Motors,Prata Ghost,Preto,2017
02-11-2017,Royce,São Paulo,130000,75890,750.0,1750.0,321,Cut'n'Shut,Prata Ghost,Vermelho,2017
02-05-2017,Aston Martin,São Paulo,102500,75890,0.01,500.0,852,Bright Orange,DB4,Prata,2017
02-06-2017,Aston Martin,São Paulo,178500,62000,750.0,450.0,654,Honest John,Vanquish,Prata,2017
02-07-2017,Aston Martin,São Paulo,124500,62000,1000.0,450.0,984,Aldo Motors,Vanquish,Verde,2017
02-08-2017,Aston Martin,São Paulo,130000,62000,1250.0,450.0,895,Aldo Motors,DB9,Azul,2017
01-01-2016,Jaguar,Rio de Janeiro,44000,25000,500.0,450.0,486,Rocky Riding,XK,Púrpura,2016
01-02-2016,Jaguar,Rio de Janeiro,45000,37500,500.0,450.0,486,Rocky Riding,XJ6,Verde,2016
01-03-2016,Jaguar,Espírito Santo,39500,25000,500.0,,486,Voitures Diplomatiques S.A.,XJ12,Preto,2016
01-04-2016,Jaguar,Minas Gerais,44000,37500,500.0,500.0,486,Les Arnaqueurs,XK,Prata,2016
01-05-2016,Jaguar,São Paulo,44000,25000,500.0,500.0,486,Bright Orange,XJ12,Prata,2016
01-06-2016,Jaguar,São Paulo,39500,37500,500.0,500.0,486,Honest John,XK,Azul,2016
01-07-2016,Jaguar,São Paulo,44000,25000,500.0,1750.0,486,Wheels'R'Us,XK,Verde,2016
01-08-2016,Jaguar,São Paulo,110000,50000,750.0,500.0,486,Cut'n'Shut,XJ12,Azul,2016
01-09-2016,Jaguar,Rio de Janeiro,110000,25000,750.0,1750.0,987,Rocky Riding,XJ12,Prata,2016
01-10-2016,Jaguar,Espírito Santo,44000,37500,750.0,1750.0,987,Voitures Diplomatiques S.A.,XJ6,Verde,2016
02-03-2017,Jaguar,São Paulo,39500,25000,750.0,500.0,987,Cut'n'Shut,XJ6,Vermelho,2017
02-04-2017,Jaguar,São Paulo,110000,37500,750.0,500.0,987,Wheels'R'Us,XJ6,Vermelho,2017
02-05-2017,Jaguar,São Paulo,44000,25000,750.0,500.0,987,Crippen & Co,XJ6,Vermelho,2017
02-06-2017,Jaguar,Espírito Santo,39500,37500,500.0,450.0,987,Voitures Diplomatiques S.A.,XK,Púrpura,2017
02-07-2017,Jaguar,Rio de Janeiro,39500,25000,500.0,450.0,750,Rocky Riding,XK,Verde,2017
02-08-2017,Jaguar,São Paulo,39500,12500,500.0,450.0,750,Crippen & Co,XK,Preto,2017
02-09-2017,Jaguar,Minas Gerais,39500,25000,500.0,500.0,750,Les Arnaqueurs,XK,Azul,2017
02-10-2017,Jaguar,São Paulo,39500,37500,750.0,500.0,750,Wheels'R'Us,XK,Prata,2017
02-11-2017,Jaguar,São Paulo,39500,25000,750.0,500.0,1250,Wheels'R'Us,XK,Prata,2017
02-12-2017,Jaguar,São Paulo,39500,37500,750.0,500.0,1250,Cut'n'Shut,XJ6,Verde,2017
01-01-2016,Bentley,São Paulo,39500,25700,750.0,500.0,1250,Cut'n'Shut,Continental,Azul,2016
01-02-2016,Bentley,São Paulo,44000,25700,750.0,500.0,1250,Bright Orange,Arnage,Azul,2016
01-03-2016,Bentley,São Paulo,44000,25700,750.0,500.0,987,Bright Orange,Azure,Vermelho,2016
